Standard
Charleroi
Cercle Brugge
Gent
Lierse
Oostende
Waasland-Beveren
Club Brugge
Westerlo
Lokeren
Anderlecht
Mouscron-Peruwelz
Mechelen
Genk
Waregem
Kortrijk
St Truiden
Oud-Heverlee Leuven
Mouscron
Eupen
Antwerp
Beerschot VA
Seraing
St. Gilloise
RWD Molenbeek
Arsenal
Crystal Palace
Leicester
Everton
Man United
Swansea
QPR
Hull
Stoke
Aston Villa
West Brom
Sunderland
West Ham
Tottenham
Liverpool
Southampton
Newcastle
Man City
Burnley
Chelsea
nan
Bournemouth
Watford
Norwich
Middlesbrough
Brighton
Huddersfield
Cardiff
Fulham
Wolves
Sheffield United
Leeds
Brentford
Nott'm Forest
Luton
Blackburn
Charlton
Sheffield Weds
Derby
Rotherham
Ipswich
Birmingham
Millwall
Blackpool
Bolton
Wigan
Reading
Milton Keynes Dons
Bristol City
Preston
Barnsley
Burton
Wycombe
Coventry
Peterboro
Plymouth
Reims
Paris SG
Bastia
Marseille
Evian Thonon Gaillard
Caen
Guingamp
St Etienne
Lille
Metz
Montpellier
Bordeaux
Nantes
Lens
Nice
Toulouse
Lyon
Rennes
Monaco
Lorient
Angers
Troyes
Ajaccio GFCO
Dijon
Nancy
Strasbourg
Amiens
Nimes
Brest
Clermont
Ajaccio
Auxerre
Le Havre
Valenciennes
Arles
Chateauroux
Laval
Niort
Tours
Creteil
Sochaux
Orleans
Bourg Peronnas
Paris FC
Red Star
Quevilly Rouen
Grenoble
Beziers
Chambly
Rodez
Le Mans
Dunkerque
Pau FC
Annecy
Concarneau
Bayern Munich
Wolfsburg
Dortmund
Leverkusen
Ein Frankfurt
Freiburg
FC Koln
Hamburg
Hannover
Schalke 04
Hertha
Werder Bremen
Hoffenheim
Augsburg
M'gladbach
Stuttgart
Paderborn
Mainz
Darmstadt
Ingolstadt
RB Leipzig
Fortuna Dusseldorf
Nurnberg
Union Berlin
Bielefeld
Greuther Furth
Bochum
Heidenheim
Braunschweig
Aalen
St Pauli
Sandhausen
Frankfurt FSV
Karlsruhe
Erzgebirge Aue
Kaiserslautern
Munich 1860
Duisburg
Dresden
Wurzburger Kickers
Regensburg
Holstein Kiel
Magdeburg
Osnabruck
Wehen
Hansa Rostock
Elversberg
Kerkyra
Panthrakikos
OFI
Panetolikos
Olympiakos
Niki Volos
Atromitos
Platanias
Giannina
Asteras Tripolis
Levadeiakos
Panathinaikos
PAOK
Kallonis
Veria
Xanthi
Panionios
Ergotelis
AEK
Iraklis
Larisa
Lamia
Apollon
OFI Crete
Aris
Volos NFC
Ionikos
Apollon Apollon
Kifisias
Panserraikos
Chievo
Juventus
Roma
Fiorentina
Atalanta
Verona
Cesena
Parma
Genoa
Napoli
Milan
Lazio
Palermo
Sampdoria
Sassuolo
Cagliari
Torino
Inter
Udinese
Empoli
Bologna
Frosinone
Carpi
Crotone
Pescara
Spal
Benevento
Brescia
Lecce
Spezia
Salernitana
Venezia
Monza
Cremonese
Perugia
Avellino
Pro Vercelli
Catania
Virtus Lanciano
Ternana
Livorno
Trapani
Varese
Virtus Entella
Bari
Modena
Cittadella
Latina
Vicenza
Novara
Como
Ascoli
Pisa
Foggia
Cosenza
Padova
Juve Stabia
Pordenone
Reggina
Reggiana
Alessandria
Sudtirol
Catanzaro
FeralpiSalo
Lecco
Zwolle
Utrecht
Cambuur
Twente
Heerenveen
Dordrecht
Heracles
AZ Alkmaar
NAC Breda
Excelsior
Ajax
Vitesse
Den Haag
Feyenoord
Go Ahead Eagles
Groningen
Willem II
PSV Eindhoven
Roda
Graafschap
Nijmegen
Sparta Rotterdam
VVV Venlo
For Sittard
FC Emmen
Waalwijk
Volendam
Almere City
Porto
Maritimo
Academica
Sp Lisbon
Gil Vicente
Guimaraes
Benfica
Pacos Ferreira
Nacional
Moreirense
Penafiel
Belenenses
Rio Ave
Setubal
Sp Braga
Boavista
Arouca
Estoril
Tondela
Uniao Madeira
Feirense
Chaves
Aves
Portimonense
Santa Clara
Famalicao
Farense
Vizela
Casa Pia
Estrela
Dundee
Kilmarnock
Hamilton
Inverness C
Motherwell
St Mirren
Aberdeen
Dundee United
Ross County
St Johnstone
Partick
Celtic
Hearts
Rangers
Hibernian
Livingston
